店名 住所 電話番号
（有）チェリーハウス 渋谷区東3-9-39 03-3409-5693
（有）日東ランドリー 渋谷区東4-7-2 03-3400-4323
㈱Ｋ－Ｐｌａｎｎｉｎｇ 渋谷区広尾1-9-18 03-3441-6021
白鵬ランドリー 渋谷区恵比寿1-31-3 03-3440-2596
白栄舍本店 渋谷区恵比寿4-27-5 03-3441-5792
（有）たからやクリーニング商会 渋谷区円山町26-6 03-3461-6965
大島クリーニング 渋谷区千駄ヶ谷2-10-3 03-3401-4980
（資）長栄舎本店 渋谷区代々木1-24-14 03-3370-5401
ふじしろクリーニング 渋谷区代々木4-1-5 03-3370-5078
（有）ツクバ商会 渋谷区代々木4-20-2 03-3370-1928
長栄舎初台支店 渋谷区初台1-19-3 03-3370-8690
（有）鈴長クリーニング 渋谷区初台1-6-9 03-3370-4092
三晃堂クリーニング商会 渋谷区西原2-21-10 03-3466-5397
（資）旭クリーニング 渋谷区本町1-14-14 03-3376-1708
誠光舎 渋谷区本町5-34-1 03-3376-6656
（有）ホワイトサービス 渋谷区本町5-8-13 03-3377-3570
（有）千曲ランドリー 渋谷区本町6-6-10 03-3377-7532
田辺クリーニング 渋谷区幡ヶ谷3-42-7 03-3377-7809
原島クリーニング 渋谷区幡ヶ谷3-9-13 03-3376-6968
宮田クリーニング店 渋谷区笹塚1-19-7 03-3466-1797
八進舎クリーニング 渋谷区笹塚2-18-8 03-3376-4537
（有）クリーニングふかの 渋谷区笹塚3-12-4 03-3377-4537
（有）吉岡ランドリー 中野区中野1-13-11 03-3361-7727
齋藤クリーニング店 中野区中野1-29-6 03-3369-7902
サンヨークリーニングショップ 中野区中野5-10-7 03-3385-0397
大成舎クリーニング 中野区中野6-3-10 03-3371-9029
三共クリーニング店 中野区上高田1-1-21 03-3361-1286
赤木クリーニング 中野区上高田1-25-8 03-3386-5809
白文舎ランドリー 中野区中央1-30-13 03-3361-4938
大森クリーニング商会 中野区中央2-8-7 03-3371-8200
（有）富士ランドリー 中野区中央3-34-2 03-3381-9308
文化ハイクリーナー牛澤 中野区中央4-19-13 03-3381-1680
（有）野村クリーニング商会 中野区本町2-37-14 03-3372-1881
岡クリーニング店 中野区本町2-49-7 03-3372-4064
（有）モリタクリーニング 中野区本町3-25-7 03-3372-4650
千代田ランドリー 中野区本町6-13-10-101 03-3381-1605
（有）銀洋舎 中野区弥生町1-49-9 03-3372-1966
（有）梅島クリーニングきたざわ 中野区弥生町2-25-1 03-5385-0016
杉山クリーニング 中野区弥生町2-51-13 03-3381-0924
銀座クリーニング 中野区弥生町3-7-10 03-3372-2059
協栄クリーニング 中野区南台2-52-11 03-3381-5807
綺麗舎クリーニング 中野区南台3-18-6 03-3382-7207
（有）土屋クリーニング商会 中野区南台3-5-8 03-3381-8883
文化クリーニング 中野区南台4-61-10 03-3382-4384
ナカムラクリーニング店 中野区丸山2-3-8 03-3336-3466
光洋舍 中野区丸山2-6-6 03-3330-9141
クリーニングHEIWA 中野区江古田2-12-22 03-3389-3666
横田ランドリー 中野区江原町2-14-6 03-3950-8549
原クリーニング店 中野区江原町3-12-3 03-3951-3582
クリーニングTOP 中野区江原町3-25-8 03-3951-9338
